tanggal,tahun,bulan,week,nama_provinsi,nama_kota,nama_kecamatan,hospitalized,self_isolation,recovered,recovered_delta,total_deaths,total_deaths_delta,total_cases,total_cases_delta,recovery_rate,mortality_rate
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,157,0,3615,347,81,5,3853,379,0.15610156317471285,3.497711374039209E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA BARAT,KALI DERES,93,0,3393,300,84,7,3570,305,0.12506911423200265,3.0963175937188986E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,136,0,4800,443,103,8,5039,414,0.15966470412134517,3.426138442603865E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,116,0,3965,463,64,10,4145,476,0.16580245881073849,2.6762565861001924E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA BARAT,PALMERAH,109,0,3818,346,97,10,4024,325,0.14610998430982358,3.7120661283532967E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,64,0,1910,111,33,2,2007,123,0.1643434864911375,2.8394424367578731E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA BARAT,TAMBORA,96,0,2604,238,71,6,2771,249,0.1534020618556701,4.1826215022091311E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,41,0,2437,185,43,4,2521,188,0.13261141644446864,2.3398813734559504E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,45,0,1998,131,36,0,2079,135,0.15985278822305785,2.8802304184334746E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,42,0,2114,104,68,1,2224,102,0.14836128851147448,4.7722647203312513E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,132,0,4356,331,102,3,4590,381,0.15732447269575267,3.6839063854377349E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA PUSAT,MENTENG,36,0,1630,125,33,0,1699,142,0.1653814935064935,3.3482142857142855E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,46,0,1910,177,45,3,2001,170,0.15522145469321413,3.6570499796830555E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA PUSAT,SENEN,85,0,2252,157,48,2,2385,200,0.14065330085566174,2.9979389169945661E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,66,0,3077,208,69,4,3212,225,0.15794877059699194,3.5419126328217238E-3
