tanggal,tahun,bulan,minggu,nama_kota,total_recoveries,total_deaths,total_cases,recovery_rate,mortality_rate
2021-09-25,2021,September,4,JAKARTA PUSAT,81647,1828,480800,0.169814891846922,0.00380199667221298
2021-09-25,2021,September,4,JAKARTA SELATAN,169196,3438,921970,0.183515732616029,0.00372897165851383
2021-09-25,2021,September,4,JAKARTA TIMUR,207124,4377,993209,0.208540196474257,0.00440692744427407
2021-09-25,2021,September,4,JAKARTA UTARA,101505,1976,625386,0.162307758728209,0.00315964860102401
2021-09-25,2021,September,4,KEPULAUAN SERIBU,1312,19,9740,0.134702258726899,0.00195071868583162
2021-10-02,2021,October,1,JAKARTA BARAT,143547,3086,741344,0.193630757111408,0.00416270988906634
2021-10-02,2021,October,1,JAKARTA PUSAT,81738,1831,492677,0.165905857184322,0.00371643084617305
2021-10-02,2021,October,1,JAKARTA SELATAN,169384,3447,948288,0.178620840925963,0.00363497165418101
2021-10-02,2021,October,1,JAKARTA TIMUR,207303,4391,1020095,0.203219308005627,0.00430450105137267
2021-10-02,2021,October,1,JAKARTA UTARA,101635,1977,642060,0.158295174905772,0.00307915148116998
2021-10-02,2021,October,1,KEPULAUAN SERIBU,1313,19,9849,0.133313026703219,0.00192912986089958
2021-10-09,2021,October,2,JAKARTA BARAT,143617,3093,766308,0.187414198990484,0.00403623608261952
2021-10-09,2021,October,2,JAKARTA PUSAT,81799,1833,508697,0.16080102693745,0.00360332378606518
2021-10-09,2021,October,2,JAKARTA SELATAN,169564,3450,986028,0.171966718997838,0.00349888644135866
2021-10-09,2021,October,2,JAKARTA TIMUR,207469,4393,1057777,0.196136803882104,0.00415304927220009
2021-10-09,2021,October,2,JAKARTA UTARA,101819,1978,666351,0.152800851203045,0.0029684055400232
2021-10-09,2021,October,2,KEPULAUAN SERIBU,1316,19,10166,0.129451111548298,0.00186897501475507
2021-10-16,2021,October,3,JAKARTA BARAT,143722,3097,791137,0.181665122475627,0.00391461908620125
2021-10-16,2021,October,3,JAKARTA PUSAT,81879,1833,523960,0.156269562562028,0.00349835865333232
2021-10-16,2021,October,3,JAKARTA SELATAN,169757,3455,1020671,0.166319019546945,0.003385028084466
2021-10-16,2021,October,3,JAKARTA TIMUR,207593,4399,1092141,0.190078936694072,0.00402786819650576
2021-10-16,2021,October,3,JAKARTA UTARA,102132,1979,686826,0.148701417826349,0.00288137024515671
2021-10-16,2021,October,3,KEPULAUAN SERIBU,1323,19,10499,0.126012001142966,0.00180969616153919
2021-10-23,2021,October,4,JAKARTA BARAT,143798,3097,811882,0.177116871663616,0.00381459374638186
2021-10-23,2021,October,4,JAKARTA PUSAT,81942,1835,536071,0.152856617873379,0.00342305403575273
2021-10-23,2021,October,4,JAKARTA SELATAN,169903,3456,1049236,0.161930204453526,0.00329382522139919
2021-10-23,2021,October,4,JAKARTA TIMUR,207701,4402,1121300,0.185232319629002,0.00392580041023812
2021-10-23,2021,October,4,JAKARTA UTARA,102296,1979,707642,0.144558971909525,0.00279661184610297
2021-10-23,2021,October,4,KEPULAUAN SERIBU,1325,19,10712,0.123693054518297,0.00177371172516804
2021-10-30,2021,October,5,JAKARTA BARAT,143882,3100,832170,0.172899768076234,0.0037252003797301
2021-10-30,2021,October,5,JAKARTA PUSAT,82007,1837,548272,0.149573569323256,0.00335052674584878
2021-10-30,2021,October,5,JAKARTA SELATAN,170028,3460,1077329,0.157823654612472,0.00321164658149924
2021-10-30,2021,October,5,JAKARTA TIMUR,207836,4404,1150742,0.180610423535423,0.00382709590855292
2021-10-30,2021,October,5,JAKARTA UTARA,102459,1982,727740,0.140790666996455,0.00272350015115288
2021-10-30,2021,October,5,KEPULAUAN SERIBU,1325,19,10863,0.121973672097947,0.00174905643008377
2021-11-06,2021,November,1,JAKARTA BARAT,143942,3104,859078,0.167554052134963,0.00361317598634815
2021-11-06,2021,November,1,JAKARTA PUSAT,82049,1837,565093,0.145195569578813,0.00325079234745431
2021-11-06,2021,November,1,JAKARTA SELATAN,170134,3462,1118075,0.152166893991906,0.00309639335464973
2021-11-06,2021,November,1,JAKARTA TIMUR,207998,4405,1188060,0.175073649478983,0.00370772519906402
2021-11-06,2021,November,1,JAKARTA UTARA,102560,1982,752151,0.136355598809282,0.00263510917355691
2021-11-06,2021,November,1,KEPULAUAN SERIBU,1326,19,11225,0.118129175946548,0.00169265033407572
2021-11-13,2021,November,2,JAKARTA BARAT,144019,3105,883951,0.162926451805587,0.00351263814396952
2021-11-13,2021,November,2,JAKARTA PUSAT,82113,1837,580268,0.141508751128789,0.00316577857128086
2021-11-13,2021,November,2,JAKARTA SELATAN,170232,3462,1153343,0.147598762900542,0.00300170894521404
2021-11-13,2021,November,2,JAKARTA TIMUR,208166,4406,1220622,0.170540920940307,0.0036096350876848
2021-11-13,2021,November,2,JAKARTA UTARA,102695,1983,775041,0.132502667600811,0.00255857432058433
2021-11-13,2021,November,2,KEPULAUAN SERIBU,1328,19,11416,0.116327960756833,0.00166433076384022
2021-11-20,2021,November,3,JAKARTA BARAT,144122,3107,908521,0.158633647433576,0.003419843900141
2021-11-20,2021,November,3,JAKARTA PUSAT,82164,1839,595145,0.138057112132337,0.00309000327651245
2021-11-20,2021,November,3,JAKARTA SELATAN,170343,3464,1186869,0.14352300043223,0.00291860348530461
2021-11-20,2021,November,3,JAKARTA TIMUR,208296,4407,1254280,0.166068182542973,0.00351356953790222
2021-11-20,2021,November,3,JAKARTA UTARA,102781,1983,797494,0.128879966495046,0.00248653908367963
2021-11-20,2021,November,3,KEPULAUAN SERIBU,1328,19,11530,0.115177797051171,0.00164787510841284
2021-11-27,2021,November,4,JAKARTA BARAT,144184,3107,931654,0.154761316969605,0.00333492906164735
2021-11-27,2021,November,4,JAKARTA PUSAT,82201,1839,608559,0.135074824298055,0.00302189270062558
2021-11-27,2021,November,4,JAKARTA SELATAN,170391,3466,1218254,0.139864921436745,0.00284505530045458
2021-11-27,2021,November,4,JAKARTA TIMUR,208362,4407,1284200,0.162250428282199,0.00343170845662669
2021-11-27,2021,November,4,JAKARTA UTARA,102840,1984,818730,0.125609175185959,0.00242326530113713
2021-11-27,2021,November,4,KEPULAUAN SERIBU,1328,19,11662,0.113874121077002,0.00162922311781856
